Iterations,Seconds,Score
404180000,1746737507,1.496094
404190000,1746737507,1.496094
404200000,1746737508,1.496094
404210000,1746737508,1.496094
404220000,1746737509,1.496094
404230000,1746737509,1.496094
404240000,1746737510,1.496094
404250000,1746737510,1.496094
404260000,1746737511,1.496094
404270000,1746737511,1.496094
404280000,1746737511,1.496094
404290000,1746737512,1.496094
404300000,1746737512,1.496094
404310000,1746737513,1.496094
404320000,1746737513,1.496094
404330000,1746737514,1.496094
404340000,1746737514,1.496094
404350000,1746737515,1.496094
404360000,1746737515,1.496094
404370000,1746737515,1.496094
404380000,1746737516,1.496094
404390000,1746737516,1.496094
404400000,1746737517,1.496094
404410000,1746737517,1.496094
404420000,1746737518,1.496094
404430000,1746737518,1.496094
404440000,1746737518,1.496094
404450000,1746737519,1.496094
404460000,1746737519,1.496094
404470000,1746737520,1.496094
404480000,1746737520,1.496094
404490000,1746737521,1.496094
404500000,1746737521,1.496094
404510000,1746737522,1.496094
404520000,1746737522,1.496094
404530000,1746737522,1.496094
404540000,1746737523,1.496094
404550000,1746737523,1.496094
404560000,1746737524,1.496094
404570000,1746737524,1.496094
404580000,1746737525,1.496094
404590000,1746737525,1.496094
404600000,1746737526,1.496094
404610000,1746737526,1.496094
404620000,1746737526,1.496094
404630000,1746737527,1.496094
404640000,1746737527,1.496094
404650000,1746737528,1.496094
404660000,1746737528,1.496094
404670000,1746737529,1.496094
404680000,1746737529,1.496094
404690000,1746737530,1.496094
404700000,1746737530,1.496094
404710000,1746737530,1.496094
404720000,1746737531,1.496094
404730000,1746737531,1.496094
404740000,1746737532,1.496094
404750000,1746737532,1.496094
404760000,1746737533,1.496094
404770000,1746737533,1.496094
404780000,1746737534,1.496094
404790000,1746737534,1.496094
404800000,1746737534,1.496094
404810000,1746737535,1.496094
404820000,1746737535,1.496094
404830000,1746737536,1.496094
404840000,1746737536,1.496094
404850000,1746737537,1.496094
404860000,1746737537,1.496094
404870000,1746737538,1.496094
404880000,1746737538,1.496094
404890000,1746737538,1.496094
404900000,1746737539,1.496094
404910000,1746737539,1.496094
404920000,1746737540,1.496094
404930000,1746737540,1.496094
404940000,1746737541,1.496094
404950000,1746737541,1.496094
404960000,1746737542,1.496094
404970000,1746737542,1.496094
404980000,1746737542,1.496094
404990000,1746737543,1.496094
405000000,1746737543,1.496094
405010000,1746737544,1.496094
405020000,1746737544,1.496094
405030000,1746737545,1.496094
405040000,1746737545,1.496094
405050000,1746737546,1.496094
405060000,1746737546,1.496094
405070000,1746737546,1.496094
405080000,1746737547,1.496094
405090000,1746737547,1.496094
405100000,1746737548,1.496094
405110000,1746737548,1.496094
405120000,1746737549,1.496094
405130000,1746737549,1.496094
405140000,1746737549,1.496094
405150000,1746737550,1.496094
405160000,1746737550,1.496094
405170000,1746737551,1.496094
405180000,1746737551,1.496094
405190000,1746737552,1.496094
405200000,1746737552,1.496094
405210000,1746737553,1.496094
405220000,1746737553,1.496094
405230000,1746737553,1.496094
405240000,1746737554,1.496094
405250000,1746737554,1.496094
405260000,1746737555,1.496094
405270000,1746737555,1.496094
405280000,1746737556,1.496094
405290000,1746737556,1.496094
405300000,1746737557,1.496094
405310000,1746737557,1.496094
405320000,1746737557,1.496094
405330000,1746737558,1.496094
405340000,1746737558,1.496094
405350000,1746737559,1.496094
405360000,1746737559,1.496094
405370000,1746737560,1.496094
405380000,1746737560,1.496094
405390000,1746737561,1.496094
405400000,1746737561,1.496094
405410000,1746737561,1.496094
405420000,1746737562,1.496094
405430000,1746737562,1.496094
405440000,1746737563,1.496094
405450000,1746737563,1.496094
405460000,1746737564,1.496094
405470000,1746737564,1.496094
405480000,1746737565,1.496094
405490000,1746737565,1.496094
405500000,1746737565,1.496094
405510000,1746737566,1.496094
405520000,1746737566,1.496094
405530000,1746737567,1.496094
405540000,1746737567,1.496094
405550000,1746737568,1.496094
405560000,1746737568,1.496094
405570000,1746737568,1.496094
405580000,1746737569,1.496094
405590000,1746737569,1.496094
405600000,1746737570,1.496094
405610000,1746737570,1.496094
405620000,1746737571,1.496094
405630000,1746737571,1.496094
405640000,1746737572,1.496094
405650000,1746737572,1.496094
405660000,1746737572,1.496094
405670000,1746737573,1.496094
405680000,1746737573,1.496094
405690000,1746737574,1.496094
405700000,1746737574,1.496094
405710000,1746737575,1.496094
405720000,1746737575,1.496094
405730000,1746737576,1.496094
405740000,1746737576,1.496094
405750000,1746737576,1.496094
405760000,1746737577,1.496094
405770000,1746737577,1.496094
405780000,1746737578,1.496094
405790000,1746737578,1.496094
405800000,1746737579,1.496094
405810000,1746737579,1.496094
405820000,1746737580,1.496094
405830000,1746737580,1.496094
405840000,1746737580,1.496094
405850000,1746737581,1.496094
405860000,1746737581,1.496094
405870000,1746737582,1.496094
405880000,1746737582,1.496094
405890000,1746737583,1.496094
405900000,1746737583,1.496094
405910000,1746737584,1.496094
405920000,1746737584,1.496094
405930000,1746737584,1.496094
405940000,1746737585,1.496094
405950000,1746737585,1.496094
405960000,1746737586,1.496094
405970000,1746737586,1.496094
405980000,1746737587,1.496094
405990000,1746737587,1.496094
406000000,1746737588,1.496094
406010000,1746737588,1.496094
406020000,1746737588,1.496094
406030000,1746737589,1.496094
406040000,1746737589,1.496094
406050000,1746737590,1.496094
406060000,1746737590,1.496094
406070000,1746737591,1.496094
406080000,1746737591,1.496094
406090000,1746737592,1.496094
406100000,1746737592,1.496094
